ref;year;month;pkd;opd;pke;ope;ctrd
c2;2015;8;NA;NA;NA;NA;NA
c2;2015;9;NA;NA;NA;NA;NA
c2;2015;10;NA;NA;NA;NA;NA
c2;2015;11;NA;NA;NA;NA;NA
c2;2015;12;90.38;130.03;2857.00;17871.00;140.00
c2;2016;1;126.00;157.92;2391.00;18328.00;140.00
c2;2016;2;91.39;106.18;1467.00;13718.00;140.00
c2;2016;3;108.53;141.76;4097.00;23926.00;140.00
c2;2016;4;120.96;142.46;4415.00;22869.00;140.00
c2;2016;5;137.42;164.30;3510.00;19446.00;140.00
c2;2016;6;56.45;60.48;2830.00;14593.00;140.00
c2;2016;7;63.50;62.83;2754.00;14839.00;140.00
c2;2016;8;49.39;59.47;1590.00;11316.00;140.00
c2;2016;9;56.45;58.46;2606.00;14552.00;140.00
c2;2016;10;58.46;70.90;2623.00;14423.00;140.00
c2;2016;11;101.47;140.78;2666.00;17758.00;140.00
c2;2016;12;85.01;132.05;2707.00;19565.00;140.00
c2;2017;1;93.41;134.40;1434.00;15640.00;140.00
c2;2017;2;94.08;129.70;1384.00;14973.00;140.00
c2;2017;3;124.99;150.86;4144.00;24745.00;140.00
c2;2017;4;115.58;145.49;3950.00;22079.00;140.00
c2;2017;5;97.44;111.89;2553.00;15162.00;140.00
c2;2017;6;65.18;63.17;3529.00;17800.00;140.00
c2;2017;7;61.15;58.46;2616.00;14975.00;140.00
c2;2017;8;62.50;58.46;2294.00;14777.00;140.00
c2;2017;9;97.78;108.86;3622.00;17910.00;140.00
c2;2017;10;95.76;133.73;4379.00;18671.00;140.00
c2;2017;11;91.22;92.74;1922.00;6800.00;140.00
c2;2017;12;80.14;110.38;2817.00;11438.00;140.00
c2;2018;1;81.65;96.77;1018.00;7007.00;140.00
c2;2018;2;21.67;58.97;907.00;7532.00;140.00
c2;2018;3;120.45;134.56;4436.96;15874.86;140.00
c2;2018;4;132.04;116.42;4624.83;17114.20;140.00
c2;2018;5;110.88;118.94;3781.63;14801.47;140.00
c2;2018;6;73.08;69.04;2793.54;10464.42;140.00
c2;2018;7;67.03;62.49;2843.06;12369.42;140.00
c2;2018;8;50.90;50.90;2230.32;10343.21;140.00
c2;2018;9;59.97;54.43;3097.33;12474.50;140.00
c2;2018;10;79.12;95.25;2739.99;12132.28;140.00
c2;2018;11;120.45;133.05;3163.98;12871.27;140.00
c2;2018;12;111.88;170.35;3127.06;14081.38;140.00
c2;2019;1;78.12;112.39;950.29;7845.13;140.00
c2;2019;2;113.90;114.40;1457.56;9551.93;140.00
c2;2019;3;117.43;111.38;3614.81;14052.02;140.00
c2;2019;4;126.00;131.04;3906.75;16299.36;140.00
c2;2019;5;84.67;111.88;2610.09;12768.21;140.00
c2;2019;6;56.95;77.11;2850.49;12820.87;140.00
c2;2019;7;60.98;78.12;2127.63;11063.55;140.00
