ref;year;month;pkd;opd;pke;ope;ctrd
c6;2018;7;62.97;63.74;2856.57;16463.80;80.00
c6;2018;8;75.26;75.26;3811.20;18722.49;80.00
c6;2018;9;66.81;60.67;3344.06;18370.36;80.00
c6;2018;10;64.51;61.44;3318.33;16963.00;80.00
c6;2018;11;71.42;65.28;2953.34;16532.35;80.00
c6;2018;12;65.28;72.96;2689.92;16119.74;80.00
c6;2019;1;26.88;40.70;1030.46;11313.40;80.00
c6;2019;2;67.58;70.65;2070.91;14451.64;80.00
c6;2019;3;63.74;76.03;2737.53;13719.74;80.00
c6;2019;4;63.74;69.12;3177.21;15739.00;80.00
c6;2019;5;65.28;56.06;3240.19;15196.60;80.00
c6;2019;6;61.44;58.36;2973.12;16133.56;80.00
c6;2019;7;66.04;69.12;2893.24;15721.53;80.00
c6;2019;8;79.10;66.81;3438.14;17026.94;80.00
c6;2019;9;73.72;72.96;3636.67;16980.28;80.00
c6;2019;10;61.44;68.35;3418.56;16729.53;80.00
c6;2019;11;62.97;59.90;2885.37;15959.42;80.00
c6;2019;12;65.28;58.36;2717.76;14993.47;80.00
c6;2020;1;26.11;32.25;1098.81;11009.66;80.00
c6;2020;2;82.17;102.14;2258.30;15743.04;80.00
c6;2020;3;66.04;76.80;2464.12;14449.72;80.00
c6;2020;4;26.11;26.11;1219.58;9464.44;80.00
c6;2020;5;23.80;24.57;1029.50;8886.33;80.00
c6;2020;6;26.88;26.88;1247.00;9167.00;80.00
c6;2020;7;26.11;29.18;1073.00;8164.00;80.00
c6;2020;8;23.80;23.04;1005.00;8471.00;80.00
c6;2020;9;23.80;23.80;1071.00;8057.00;80.00
c6;2020;10;25.34;28.41;967.00;8053.00;80.00
c6;2020;11;NA;NA;NA;NA;NA
c6;2020;12;NA;NA;NA;NA;NA
