"1";"Referência;2016;2016;2016;2016;2015;2015;2015;2015;2014;2014;2014;2014"
"2";";Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh);Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh);Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh)"
"3";";P;FP;P;FP;P;FP;P;FP;P;FP;P;FP"
"1";13.82;23.33;634;5579;12.53;29.38;477;5149;22.9;19.44;583;4267
"2";35.85;43.63;907.52;6363.14;49.68;55.73;1397;8244;49.68;49.82;1397;8244
"3";56.16;50.54;2471.58;10836.07;53.14;53.57;2179;10724;53.14;50.54;2179;10724
"4";45.36;40.6;1988.28;9624.74;39.31;39.74;1767;9387;32.83;30.67;1379;6537
"5";43.48;49.53;1883.44;8956.72;57.02;49.68;2067;9748;34.56;32.4;1759;7499
"6";47.08;44.92;1745.6;8918.31;54;39.74;2035;9353;34.56;44.06;1976;8651
"7";44.06;34.12;1399.03;7459.45;40.18;34.56;1250;7691;34.56;30.67;1547;7306
"8";44.06;40.17;2232.57;9594.39;46.66;42.77;2333;9784;48.38;36.29;2031;8221
"9";44.06;42.33;1733.61;8733.42;47.52;45.79;1936;9505;38.02;33.7;1848;7578
"10";44.35;38.88;1801.36;8763.33;42.34;41.04;1706;8231;38.88;34.56;1691;7377
"11";48.09;49.53;1764;9645.91;42.34;39.74;1491;7357;39.74;32.83;1705;7268
"12";53.56;57.6;1564;9711.07;47.09;48.38;1572;8562;34.13;30.67;1564;7115
