"1";"Referência;2016;2016;2016;2016;2015;2015;2015;2015;2014;2014;2014;2014"
"2";";Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh);Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh);Demanda (kW);Demanda (kW);Energia (kWh);Energia (kWh)"
"3";";P;FP;P;FP;P;FP;P;FP;P;FP;P;FP"
"1";29.18;34.56;903;9729;28.42;49.15;1011;10932;31.49;30.72;1127;10284
"2";66.04;69.88;1578.43;11572.8;72.96;81.41;2133;13502;67.58;70.65;2070.91;13502
"3";69.88;77.56;3697.72;18373.05;79.87;76.8;3433;16772;66.81;76.415;3085.265;15245.87
"4";66.81;60.67;3141;16369.53;63.74;58.37;3007;15986;63.74;69.89;3141;17071
"5";68.35;59.135;3433.595;16371.8;71.42;67.58;3627;17547;74.5;62.21;3880;18121
"6";81.4;73.72;3515.13;18889.34;73.34;65.28;3618;18562;86.02;80.64;4174;19314
"7";62.97;58.37;2856.57;16463.8;64.51;55.3;2849;15003;68.35;58.37;2518;14275
"8";75.26;75.26;3811.2;18722.49;76.8;69.12;3729;16671;76.03;70.27;3754;17511
"9";66.81;60.67;3344.06;18370.36;66.05;55.3;3379;15681;56.83;53.76;2976;15690
"10";64.51;61.44;3318.33;16963;64.51;55.3;3130;15278;54.53;52.99;2412;13605
"11";71.42;65.28;2953.34;16532.35;65.28;59.9;2939;15522;57.6;59.9;2194;13254
"12";65.28;56.83;2689.92;16119.74;72.96;56.83;2544;14960;47.62;58.37;1978;12468
